Title,Complete Path,Folder Name,Extension,Format,Format Profile,Codec ID,File Size (MB),File Size (GB),Duration,Duration Formatted,Overall Bitrate (kbps),Overall Bitrate (Mbps),Recorded Date,Writing Application,Video Codec,Video Bitrate (kbps),Video Bitrate (Mbps),Resolution,Aspect Ratio,Frame Rate (FPS),Color Space,Chroma Subsampling,Video Bit Depth,Scan Type,Encoding Library,HDR Format,Color Range,Color Primaries,Transfer Characteristics,Matrix Coefficients,Maximum Content Light Level (cd/m²),Maximum Frame-Average Light Level (cd/m²),Number of Audio Tracks,Audio Track 1 Codec,Audio Track 1 Bitrate (kbps),Audio Track 1 Channels,Audio Track 1 Language,Audio Track 1 Default,Audio Track 1 Forced,Subtitles Info,TMDB Genre(s),TMDB Rating,Polish Title,Source Directory,Audio Track 2 Codec,Audio Track 2 Bitrate (kbps),Audio Track 2 Channels,Audio Track 2 Language,Audio Track 2 Default,Audio Track 2 Forced,Audio Track 3 Codec,Audio Track 3 Bitrate (kbps),Audio Track 3 Channels,Audio Track 3 Language,Audio Track 3 Default,Audio Track 3 Forced,index,Audio Tracks,Subtitles,Audio Track 4 Codec,Audio Track 4 Bitrate (kbps),Audio Track 4 Channels,Audio Track 4 Language,Audio Track 4 Default,Audio Track 4 Forced
A Charlie Brown Christmas (1965),\\192.168.50.135\Nowy1\MEDIA\Christmas\A Charlie Brown Christmas (1965)\A Charlie Brown Christmas (1965).mkv,A Charlie Brown Christmas (1965),.mkv,Matroska,,,1174.01,1.15,1532491,00:25:32,6426.33,6.426,,Lavf58.67.100,HEVC,,,2880x2160,1.333,23.976,YUV,4:2:0,10.0,,x265 - 3.4+32-b24459657:[Linux][GCC 7.5.0][64 bit] 10bit,,Limited,BT.709,BT.709,BT.709,,,1,AAC,,6.0,,Yes,No,en,"Animacja, Familijny, Komedia, film TV",7.674,Gwiazdka Charlie Browna,Christmas,,,,,,,,,,,,,0,"[{'Codec': 'AAC', 'Bitrate (kbps)': None, 'Channels': 6, 'Language': None, 'Default': 'Yes', 'Forced': 'No'}]",['en'],,,,,,
A Christmas Carol (1984),\\192.168.50.135\Nowy1\MEDIA\Christmas\A Christmas Carol (1984)\A Christmas Carol (1984).mp4,A Christmas Carol (1984),.mp4,MPEG-4,Base Media,isom,3425.16,3.34,6068104,01:41:08,4734.97,4.735,,Lavf58.44.100,AVC,4500.0,4.5,1456x1080,1.348,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,271290.0,2.0,,Yes,,,"Animacja, Familijny, Fantasy, Dramat",6.893,Opowieść wigilijna,Christmas,,,,,,,,,,,,,1,"[{'Codec': 'AAC', 'Bitrate (kbps)': 271290.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
A Christmas Carol (1999),\\192.168.50.135\Nowy1\MEDIA\Christmas\A Christmas Carol (1999)\A Christmas Carol (1999).mp4,A Christmas Carol (1999),.mp4,MPEG-4,Base Media,isom,886.79,0.87,5617163,01:33:37,1324.33,1.324,,Lavf58.44.100,AVC,1200.0,1.2,1280x720,1.778,25.0,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,127999.0,2.0,,Yes,,,"Animacja, Familijny, Fantasy, Dramat",6.893,Opowieść wigilijna,Christmas,,,,,,,,,,,,,2,"[{'Codec': 'AAC', 'Bitrate (kbps)': 127999.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
A Christmas Carol (2009),\\192.168.50.135\Nowy1\MEDIA\Christmas\A Christmas Carol (2009)\A Christmas Carol (2009).mkv,A Christmas Carol (2009),.mkv,Matroska,,,8381.76,8.19,5748800,01:35:48,12230.6,12.231,,mkvmerge v62.0.0 ('Apollo') 64-bit,AVC,10339.0,10.339,1920x800,2.4,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 102 r1666 d058f37,,,,,,,,2,AC-3,384000.0,6.0,pl,Yes,No,"pl, en","Animacja, Familijny, Fantasy, Dramat",6.893,Opowieść wigilijna,Christmas,DTS,1509000.0,6.0,en,No,No,,,,,,,3,"[{'Codec': 'AC-3', 'Bitrate (kbps)': 384000.0, 'Channels': 6, 'Language': 'pl', 'Default': 'Yes', 'Forced': 'No'}, {'Codec': 'DTS', 'Bitrate (kbps)': 1509000.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}]","['pl', 'en']",,,,,,
A Very Murray Christmas (2015),\\192.168.50.135\Nowy1\MEDIA\Christmas\A Very Murray Christmas (2015)\A Very Murray Christmas (2015).mp4,A Very Murray Christmas (2015),.mp4,MPEG-4,Base Media,isom,2543.12,2.48,3393440,00:56:33,6286.62,6.287,2015,Lavf60.3.100,AVC,5634.62,5.635,1920x1080,1.778,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 148 r2727 7d026e8,,,,,,,,1,E-AC-3,640000.0,6.0,en,Yes,,"en, de, pl","Komedia, Muzyczny, film TV",5.24,A Very Murray Christmas,Christmas,,,,,,,,,,,,,4,"[{'Codec': 'E-AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'en', 'Default': 'Yes', 'Forced': None}]","['en', 'de', 'pl']",,,,,,
Call Me Claus (2001),\\192.168.50.135\Nowy1\MEDIA\Christmas\Call Me Claus (2001)\Call Me Claus (2001).mp4,Call Me Claus (2001),.mp4,MPEG-4,Base Media,isom,1940.35,1.89,5188080,01:26:28,3137.35,3.137,,Lavf58.44.100,AVC,2918.0,2.918,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,280807.0,2.0,,Yes,,,"film TV, Familijny",5.7,Zawód święty Mikołaj,Christmas,,,,,,,,,,,,,5,"[{'Codec': 'AAC', 'Bitrate (kbps)': 280807.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
Christmas Chronicles (2018),\\192.168.50.135\Nowy1\MEDIA\Christmas\Christmas Chronicles (2018)\Christmas Chronicles (2018).mp4,Christmas Chronicles (2018),.mp4,MPEG-4,Base Media,isom,3424.9,3.34,6315296,01:45:15,4549.29,4.549,2018,Lavf60.3.100,AVC,2619.08,2.619,1920x1080,1.778,24.0,YUV,4:2:0,8.0,Progressive,x264 - core 148 r2727 7d026e8,,,,,,,,3,E-AC-3,640000.0,6.0,de,Yes,,"en, de, pl","Familijny, Fantasy, Przygodowy, Komedia",6.481,Kronika świąteczna: Część druga,Christmas,E-AC-3,640000.0,6.0,en,Yes,,E-AC-3,640000.0,6.0,pl,Yes,,6,"[{'Codec': 'E-AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'de', 'Default': 'Yes', 'Forced': None}, {'Codec': 'E-AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'en', 'Default': 'Yes', 'Forced': None}, {'Codec': 'E-AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]","['en', 'de', 'pl', 'de', 'en', 'pl']",,,,,,
Christmas Vacation (1989),\\192.168.50.135\Nowy1\MEDIA\Christmas\Christmas Vacation (1989)\Christmas Vacation (1989).mp4,Christmas Vacation (1989),.mp4,MPEG-4,Base Media,isom,3184.69,3.11,5831363,01:37:11,4581.28,4.581,,Lavf58.44.100,AVC,4407.0,4.407,1920x1086,1.768,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,245069.0,2.0,,Yes,,,"Komedia, Romans",5.173,Vacanze di Natale '90,Christmas,,,,,,,,,,,,,7,"[{'Codec': 'AAC', 'Bitrate (kbps)': 245069.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
Christmas with the Kranks (2004),\\192.168.50.135\Nowy1\MEDIA\Christmas\Christmas with the Kranks (2004)\Christmas with the Kranks (2004).mp4,Christmas with the Kranks (2004),.mp4,MPEG-4,Base Media,isom,3061.19,2.99,5932260,01:38:52,4328.73,4.329,,Lavf58.44.100,AVC,4140.0,4.14,1920x798,2.406,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,273431.0,2.0,,Yes,,,"Komedia, Familijny",6.148,Święta last minute,Christmas,,,,,,,,,,,,,8,"[{'Codec': 'AAC', 'Bitrate (kbps)': 273431.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
Chronicles of Narnia (2005),\\192.168.50.135\Nowy1\MEDIA\Christmas\Chronicles of Narnia (2005)\Chronicles of Narnia (2005).mkv,Chronicles of Narnia (2005),.mkv,Matroska,,,11451.0,11.18,8571712,02:22:51,11206.39,11.206,,mkvmerge v70.0.0 ('Caught A Lite Sneeze') 64-bit,AVC,9925.0,9.925,1920x816,2.353,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 59 r839 27c3071,,,,,,,,2,AC-3,640000.0,6.0,en,No,No,pl,"Przygodowy, Familijny, Fantasy",7.1,"Opowieści z Narnii: Lew, Czarownica i stara szafa",Christmas,AC-3,640000.0,6.0,pl,Yes,Yes,,,,,,,9,"[{'Codec': 'AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}, {'Codec': 'AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'pl', 'Default': 'Yes', 'Forced': 'Yes'}]",['pl'],,,,,,
